FirstName,LastName,ADP_SF,Position,Y0_VORP,Y1_VORP,Y2_VORP,Y3_VORP,Y4_VORP,Y5_VORP,Y6_VORP,Y7_VORP,Y8_VORP,Y9_VORP,Y10_VORP,Y11_VORP,Y12_VORP,Y13_VORP,Y14_VORP,Y15_VORP,Y16_VORP,Y17_VORP,Y18_VORP,Y19_VORP,Y20_VORP
Justin,Jefferson,5.1,WR,10.50952668,8.912354034,9.955803414,6.991368548,6.667605033,4.738969155,4.571521926,2.693743956,2.920959401,1.325712414,0.990565997,0.490122908,0.366732737,0,0,0,0,0,0,0,0
Austin,Ekeler,29.7,RB,8.146552036,5.300231633,3.73964077,3.116885273,0.82407759,0.44893024,0.056748933,0.054925375,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooper,Kupp,31.5,WR,10.55215278,7.969644334,6.163163306,4.714964348,3.678576574,1.616583998,1.296708451,0.656172843,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,McCaffrey,13,RB,7.905275735,6.087083358,5.264228171,2.373390994,1.645535835,0.654756883,0.888008117,0.169572618,0,0,0,0,0,0,0,0,0,0,0,0,0
Ja'Marr,Chase,7.6,WR,9.970057698,6.641833431,8.447928102,6.507140981,5.657597203,4.164383131,3.181006121,2.212226495,2.196381208,1.429266485,1.239635507,0.449834949,0.332865135,0,0,0,0,0,0,0,0
Travis,Kelce,21.4,TE,7.853831479,6.065632059,4.236348585,4.209952335,3.050711651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bijan,Robinson,11.4,RB,6.998677283,8.714187852,5.567067777,6.222809279,4.409894031,3.070574574,2.853504794,2.495954755,1.05288205,0.534678792,0.441277138,0.269763759,0.06311646,0,0,0,0,0,0,0,0
Tyreek,Hill,23.9,WR,8.654592177,6.749349362,5.88097997,4.398386163,3.413421283,1.870978619,1.632863609,0.924950367,0.259322202,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan,Taylor,20.3,RB,6.998677283,5.751731487,4.526071162,4.018910151,2.884470506,1.777472144,0.852579023,0.401912632,0.429324066,0.211952509,0.118226982,0,0,0,0,0,0,0,0,0,0
Derrick,Henry,53.3,RB,6.836554387,4.515251806,2.536790451,1.484648476,0.821465042,0.228892419,0.035809284,0.014160724,0.021422634,0,0,0,0,0,0,0,0,0,0,0,0
Saquon,Barkley,25.9,RB,7.072774725,5.096471889,3.752533524,2.499087584,1.644657975,0.795430283,0.651915292,0.234366111,0.021133855,0,0,0,0,0,0,0,0,0,0,0,0
Davante,Adams,45.7,WR,8.436796875,6.598297322,4.87812562,3.605387934,1.99080834,1.137555782,0.732230609,0.153353384,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefon,Diggs,27.2,WR,7.040250668,5.447248131,4.817303695,3.491999847,2.711010138,1.739234914,1.159735969,0.671560401,0,0,0,0,0,0,0,0,0,0,0,0,0
CeeDee,Lamb,12.7,WR,7.13113659,6.884986255,6.4256821,5.635921963,5.059793647,3.178880871,2.907807433,1.59280346,1.582291626,0.873128219,0.520913597,0.430777764,0.235273765,0.242269554,0,0,0,0,0,0,0
Garrett,Wilson,15.7,WR,5.640865809,4.618416396,3.97868559,4.312879794,4.050337787,3.295164863,2.043343517,1.42726555,1.02262457,1.056298452,0.645419653,0.414164464,0.269360122,0.240592473,0.146757727,0,0,0,0,0,0
Amon-Ra,St Brown,17.4,WR,5.647908088,4.800563644,4.872305878,4.818021613,3.979791196,3.311791334,2.072432883,0.921416313,0.92809864,0.534392512,0.146296563,0.395824497,0.435681614,0.442740337,0,0,0,0,0,0,0
Josh,Jacobs,39.1,RB,6.828386461,6.064685883,4.68311683,2.879155946,1.602469071,0.842787725,0.22727059,0.326799264,0.31667389,0.135067899,0,0,0,0,0,0,0,0,0,0,0
Nick,Chubb,44.7,RB,6.179566563,3.863581258,2.787518462,1.273260063,0.660693077,0.205564528,0.114451824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ,Brown,14.1,WR,5.005247982,4.513597572,3.735508134,2.778012767,1.743646167,1.628207569,0.575188865,0.409108717,0.447134763,0.146025451,0.083648482,0,0,0,0,0,0,0,0,0,0
Jaylen,Waddle,19.7,WR,5.011805075,4.337291172,4.077413756,3.272772315,2.619527424,1.96707959,1.698374488,0.919517974,0.592450541,0.408804605,0.123878907,0.129922638,0,0,0,0,0,0,0,0,0
Tony,Pollard,50.3,RB,6.429599391,4.885382323,3.685432224,2.265007912,1.464449892,0.685669669,0.518009877,0.249832522,0.008899815,0,0,0,0,0,0,0,0,0,0,0,0
Breece,Hall,18.5,RB,5.986654209,6.529283614,5.269025081,4.85554959,4.599448972,2.94925122,3.444826228,1.333930874,0.631238756,0.728813653,0.28334331,0.049988141,0.004045806,0,0,0,0,0,0,0,0
Travis,Etienne,38.3,RB,5.107345495,4.101151786,3.328787124,2.393144157,2.029627062,1.270971788,0.681777189,0.242196563,0.408183423,0.193036979,0.033830715,0,0,0,0,0,0,0,0,0,0
Patrick,Mahomes,1.1,QB,9.062293178,6.200299553,5.782639916,5.570861231,5.78961303,6.10041189,4.759749346,3.355834837,2.882741985,3.440515251,2.381177208,0.755769461,0.44601636,0.361748897,0.324181678,0.384220451,0.409595483,0.254807789,0.254807789,0.254807789,0.254807789
Josh,Allen,2.5,QB,8.316931482,4.802116094,5.55596957,2.639401323,4.653322273,3.891647734,2.371845158,1.503558646,1.179784559,1.458505416,0.79113729,0.23744944,0.054626589,0,0,0,0,0,0,0,0
Jalen,Hurts,3.1,QB,8.080396187,7.956668636,6.003163534,5.8459933,5.582083514,5.274965508,5.555611886,5.157292495,4.131304074,3.220653494,2.453867907,1.750269875,0.994021119,0.421381551,0.086232843,0,0,0,0,0,0
DK,Metcalf,43.3,WR,4.837569147,3.682275809,3.045340103,2.20021386,1.801339396,1.422920831,0.983947903,0.546261657,0.499530207,0.117871081,0.047557919,0,0,0,0,0,0,0,0,0,0
Tee,Higgins,31.2,WR,4.94307082,4.410505185,3.938516994,3.364732094,2.599281713,1.936273057,1.188263797,0.983935844,0.669274955,0.417236553,0.103903883,0.138021124,0.061593691,0.045605877,0,0,0,0,0,0,0
DeVonta,Smith,33.6,WR,4.484729892,3.93196231,3.533720675,2.760277112,2.309983013,1.749515852,1.368072354,0.771170054,0.50067045,0.368723416,0.125654823,0.117655191,0,0,0,0,0,0,0,0,0
Joe,Mixon,73.7,RB,5.342957618,4.366338322,2.723837908,1.518954914,0.866958458,0.30789558,0.115507127,0.033623611,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhamondre,Stevenson,49.1,RB,4.850937381,3.933698589,2.817325951,1.741253381,0.878691945,0.524211184,0.088175771,0.230640577,0.091032508,0.015946282,0,0,0,0,0,0,0,0,0,0,0
Najee,Harris,46.5,RB,4.67739331,3.968998532,2.811221847,1.483936408,0.604742783,0.409656774,0.086716623,0.154053136,0.09722976,0.009280447,0,0,0,0,0,0,0,0,0,0,0
Aaron,Jones,90.2,RB,5.342957618,2.619338766,2.319407941,1.482177645,0.661278122,0.525567825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jahmyr,Gibbs,26.4,RB,4.510648617,4.939175558,4.2554681,4.576125327,3.510943408,3.191534387,2.071784571,1.965128942,1.10865477,0.462348822,0.380455032,0.107314614,0.023717715,0.003527634,0,0,0,0,0,0,0
Dameon,Pierce,57.1,RB,4.020959432,3.182646668,2.604808355,2.447538525,1.591038593,1.22907005,0.502686027,0.293479197,0.125091901,0.105147276,0.032541913,0,0,0,0,0,0,0,0,0,0
Rachaad,White,83.8,RB,4.015014199,2.993962824,2.340091053,1.514647752,1.508096274,1.003843401,0.490657036,0.134574133,0.215000205,0.110985211,0,0,0,0,0,0,0,0,0,0,0
Chris,Olave,23.4,WR,4.120333196,3.678565562,3.273219699,3.386808467,3.283753888,2.557534314,1.737925047,1.24774252,0.696707874,0.824303768,0.481902809,0.27709476,0.226775923,0.175051221,0.179888768,0,0,0,0,0,0
Deebo,Samuel,58.5,WR,4.770746753,3.332358353,2.612043551,1.728145763,1.447743622,0.520969735,0.393609541,0.116013167,0.060759964,0.036839582,0.00372053,0,0,0,0,0,0,0,0,0,0
Amari,Cooper,79.7,WR,3.784509099,2.493910685,2.019751264,1.305687086,0.692022895,0.434501937,0.317876623,0.28611759,0.023779124,0,0,0,0,0,0,0,0,0,0,0,0
Keenan,Allen,99.6,WR,4.22401348,2.334580555,1.467778126,0.839395052,0.573039931,0.235928886,0.03568094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,Burrow,4.9,QB,6.922208498,6.675517752,6.832794972,4.860094535,6.584195445,6.08251657,6.9622493,4.786691387,4.452243099,2.738208357,3.948439197,3.419614207,1.610725707,0.158307278,0.120744227,0.108605439,0.159367641,0.169299376,0.103087809,0.103087809,0.103087809
Lamar,Jackson,8,QB,7.188243736,5.356344916,5.125235383,3.352254538,3.230770266,3.948385539,2.874705851,1.297255687,1.435616253,0.783380775,1.444004706,1.078239003,0.325573761,0.107663148,0,0,0,0,0,0,0
Mark,Andrews,34.2,TE,3.349675154,2.653824321,3.208711335,2.13051411,0.740304554,1.061437243,1.292183356,0.83405499,0.659783974,0.015629931,0,0,0,0,0,0,0,0,0,0,0
Chris,Godwin,76.8,WR,4.034831643,3.140918704,2.172682347,1.464221803,1.318134165,0.404833045,0.376928859,0.085200723,0.040202361,0.026383894,0,0,0,0,0,0,0,0,0,0,0
Christian,Watson,52.6,WR,3.775442234,3.459019537,2.951488898,2.82976354,2.449913079,1.843505701,1.349339648,1.006388211,0.539809165,0.4083471,0.180317547,0.147587694,0.092868192,0.021453719,0,0,0,0,0,0,0
Diontae,Johnson,98.8,WR,3.512729239,2.358753186,1.640592939,1.351061622,1.0590924,0.525368949,0.29308313,0.224580064,0.061555877,0.018865711,0,0,0,0,0,0,0,0,0,0,0
Miles,Sanders,74,RB,3.768285004,2.558186518,1.902189573,1.086922189,0.617304491,0.209003685,0.214972824,0.098322348,0.004206885,0.008612723,0,0,0,0,0,0,0,0,0,0,0
Kenneth,Walker,37.7,RB,3.775882353,3.510355003,3.350557832,2.535668446,2.101907464,1.11672558,0.662058005,0.552457085,0.312090491,0.363987389,0.108794751,0,0,0,0,0,0,0,0,0,0
TJ,Hockenson,47.6,TE,2.89253762,2.453581141,2.163149817,1.790642398,1.542202085,1.59047234,1.169403353,0.986181981,0.54271248,0.540984408,0.625045336,0.272734177,0,0,0,0,0,0,0,0,0
DeAndre,Hopkins,94.4,WR,3.52479455,1.597511946,1.373798254,0.773736295,0.576518986,0.358384871,0.057668973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ,Moore,59.5,WR,3.511005623,2.88926117,1.983626346,1.387885597,1.099173415,0.777446312,0.247313542,0.149589058,0.088120113,0,0,0,0,0,0,0,0,0,0,0,0
Mike,Evans,111.7,WR,3.607919708,3.007397933,1.606031427,1.367084431,0.951041686,0.464973085,0.242081697,0.162220308,0,0,0,0,0,0,0,0,0,0,0,0,0
Terry,McLaurin,70,WR,3.328075066,2.315141111,1.521282547,1.371457761,0.767390408,0.432860955,0.186850823,0.137609592,0.089837332,0.020082199,0,0,0,0,0,0,0,0,0,0,0
Jerry,Jeudy,55.3,WR,3.259619637,3.155717399,2.652361329,2.665206439,1.991873498,1.579642686,1.157981034,0.810683023,0.467613623,0.350339339,0.082328133,0.087292529,0.064928104,0.023922446,0,0,0,0,0,0,0
Calvin,Ridley,62.1,WR,3.374641477,2.515761449,1.798112839,1.473295387,0.867184785,0.820684828,0.367512029,0.421674116,0.153525465,0.030518212,0,0,0,0,0,0,0,0,0,0,0
Mike,Williams,109.2,WR,3.343028973,2.28346581,1.937572207,1.092865853,0.76423559,0.580062805,0.386279723,0.273378778,0.038996434,0,0,0,0,0,0,0,0,0,0,0,0
Marquise,Brown,87.3,WR,3.254730208,2.936979438,2.161414954,1.477786667,1.257611036,0.985326084,0.370828228,0.325600891,0.105267853,0.011098926,0.0017768,0,0,0,0,0,0,0,0,0,0
Darren,Waller,95.3,TE,2.457352941,1.385580115,0.316479455,0.348067973,0.20367658,0.104133611,0.092158689,0.016502466,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Conner,111.7,RB,4.664634695,2.793987573,1.977487362,1.19376923,0.727450346,0.392751661,0.056975571,0.014195174,0.003549051,0.009711124,0,0,0,0,0,0,0,0,0,0,0
Alexander,Mattison,97.2,RB,3.865944056,2.781178276,2.220442398,1.474824547,0.949265072,0.910720219,0.488373952,0.246290142,0.072767391,0.003352708,0.012236466,0,0,0,0,0,0,0,0,0,0
Cam,Akers,84.8,RB,3.689787234,2.921378639,2.453115106,1.712817533,1.585826311,1.046628563,0.576802201,0.318910566,0.340685989,0.125140676,0,0,0,0,0,0,0,0,0,0,0
Justin,Fields,10.2,QB,6.379472138,5.261296404,6.1232889,4.108046443,4.155045532,3.689558147,4.108860755,4.386174214,3.165758797,2.376773303,1.505931875,0.915540922,0.611136075,0.302621328,0,0,0,0,0,0,0
Justin,Herbert,6.1,QB,4.643130586,3.422264693,3.820579824,3.693790705,2.706916744,3.407241183,3.499747272,2.999144323,3.082871963,2.316615068,1.662821732,2.266065431,1.703274958,1.289374216,0.209207767,0.124673357,0.110720289,0.093666539,0.166532562,0.18048563,0.085914834
