Rank,First Name,Last Name,Position Rank,VORP,Predicted Trade Value,Difference from Actual Trade Value
1,Justin,Jefferson,WR1,45,12524,3286
2,Joe,Burrow,QB1,42,10212,847
3,Jalen,Hurts,QB2,41,9913,0
4,Patrick,Mahomes,QB3,39.2,9365,-3159
5,Ja'Marr,Chase,WR2,38.6,9238,720
6,Josh,Allen,QB4,35.6,8518,-1694
7,Justin,Fields,QB5,35.2,8155,1750
8,Lamar,Jackson,QB6,32.9,7622,89
9,Bijan,Robinson,RB1,32.2,7533,101
10,CeeDee,Lamb,WR3,31.6,7432,1103
11,Cooper,Kupp,WR4,30.5,6405,2208
12,Anthony,Richardson,QB7,28.4,6329,347
13,Breece,Hall,RB2,27.6,5982,1105
14,Tyreek,Hill,WR5,27.5,5975,1327
15,Justin,Herbert,QB8,25.1,5809,-2346
16,Amon-Ra,St. Brown,WR6,24.6,5476,372
17,Garrett,Wilson,WR7,23.9,5388,-421
18,Davante,Adams,WR8,23.4,5344,1486
19,Jahmyr,Gibbs,RB3,22.8,5104,390
20,Jonathan,Taylor,RB4,22.7,5018,432
21,Stefon,Diggs,WR9,22.1,4972,303
22,Christian,McCaffrey,RB5,21.4,4877,-467
23,Josh,Jacobs,RB6,20.2,4789,1001
24,Tua,Tagovailoa,QB9,20.1,4714,450
25,Jaylen,Waddle,WR10,19.3,4678,-710
26,Austin,Ekeler,RB7,19.1,4669,528
27,Tee,Higgins,WR11,19.1,4648,369
28,Chris,Olave,WR12,18.8,4635,-337
29,Saquon,Barkley,RB8,18.5,4586,183
30,Drake,London,WR13,18.5,4403,306
31,Daniel,Jones,QB10,17.6,4287,942
32,Trevor,Lawrence,QB11,17.4,4279,-3343
33,Tony,Pollard,RB9,17.2,4264,969
34,A.J.,Brown,WR14,17,4197,-1778
35,DeVonta,Smith,WR15,17,4183,509
36,Kyle,Pitts,TE1,16.5,4158,-129
37,Dak,Prescott,QB12,16.4,4148,-10
38,Jaxon,Smith-Njigba,WR16,16.4,4141,-42
39,Travis,Kelce,TE2,16.1,4097,-921
40,Travis,Etienne,RB10,16.1,3958,389
